id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;icao_code;iata_code;gps_code;local_code;home_link;wikipedia_link;keywords
3664;KMBS;medium_airport;MBS International Airport;43.531.913;-84.082.275;668;NA;US;US-MI;Freeland;yes;KMBS;MBS;KMBS;MBS;http://www.mbsairport.org/;https://en.wikipedia.org/wiki/MBS_International_Airport;Tri City Airport, Midland, Bay City, Saginaw
3667;KMCF;medium_airport;MacDill Air Force Base;278.493;-82.521.202;14;NA;US;US-FL;Tampa;no;KMCF;MCF;KMCF;MCF;http://www.macdill.af.mil/;https://en.wikipedia.org/wiki/MacDill_Air_Force_Base;Southeast Air Base - Tampa, MacDill Field
3670;KMCO;large_airport;Orlando International Airport;28.429.399.490.356.400;-8.130.899.810.791.010;96;NA;US;US-FL;Orlando;yes;KMCO;MCO;KMCO;MCO;http://www.orlandoairports.net/;https://en.wikipedia.org/wiki/Orlando_International_Airport;Disney World,Epcot Center
3671;KMDH;medium_airport;Southern Illinois Airport;37.778.099;-89.251.999;411;NA;US;US-IL;Murphysboro;no;KMDH;MDH;KMDH;MDH;;https://en.wikipedia.org/wiki/Southern_Illinois_Airport;Carbondale
3672;KMDT;medium_airport;Harrisburg International Airport;40.193.501;-76.763.397;310;NA;US;US-PA;Harrisburg;yes;KMDT;MDT;KMDT;MDT;http://www.flyhia.com/;https://en.wikipedia.org/wiki/Harrisburg_International_Airport;Harrisburg, Lancaster, York, HIA, Middletown
3673;KMDW;large_airport;Chicago Midway International Airport;41.785.999;-87.752.403;620;NA;US;US-IL;Chicago;yes;KMDW;MDW;KMDW;MDW;https://www.flychicago.com/midway/home/pages/default.aspx;https://en.wikipedia.org/wiki/Midway_International_Airport;CHI
3675;KMEM;large_airport;Memphis International Airport;350.424;-899.767;341;NA;US;US-TN;Memphis;yes;KMEM;MEM;KMEM;MEM;https://flymemphis.com/;https://en.wikipedia.org/wiki/Memphis_International_Airport;
3680;KMGE;medium_airport;Dobbins Air Reserve Base;33.915.401;-84.516.296;1068;NA;US;US-GA;Marietta;no;KMGE;MGE;KMGE;MGE;http://www.dobbins.afrc.af.mil/;https://en.wikipedia.org/wiki/Dobbins_Air_Reserve_Base;Rickenbacker Field, Marietta AAF, Marietta AFB, Dobbins AFB
20506;KMHR;medium_airport;Sacramento Mather Airport;38.554.744;-121.297.989;98;NA;US;US-CA;Sacramento;no;KMHR;MHR;KMHR;MHR;http://www.sacramento.aero/mhr/;https://en.wikipedia.org/wiki/Sacramento_Mather_Airport;
3685;KMIA;large_airport;Miami International Airport;257.932;-80.290.604;8;NA;US;US-FL;Miami;yes;KMIA;MIA;KMIA;MIA;http://www.miami-airport.com/;https://en.wikipedia.org/wiki/Miami_International_Airport;MFW, South Florida
3686;KMIB;medium_airport;Minot Air Force Base;484.156;-101.358.002;1667;NA;US;US-ND;Minot;no;KMIB;MIB;KMIB;MIB;http://www.minot.af.mil/;https://en.wikipedia.org/wiki/Minot_Air_Force_Base;5th Bomb Wing, 91st Space Wing
3692;KMKL;medium_airport;McKellar-Sipes Regional Airport;35.599.899;-88.915.604;434;NA;US;US-TN;Jackson;yes;KMKL;MKL;KMKL;MKL;http://mckellarsipes.com/;https://en.wikipedia.org/wiki/McKellar-Sipes_Regional_Airport;
3693;KMLB;medium_airport;Melbourne Orlando International Airport;281.028;-80.645.302;33;NA;US;US-FL;Melbourne;yes;KMLB;MLB;KMLB;MLB;https://www.mlbair.com/;https://en.wikipedia.org/wiki/Melbourne_International_Airport;
3703;KMQY;medium_airport;Smyrna Airport;360.089.988.708;-865.201.034.546;543;NA;US;US-TN;Smyrna;no;KMQY;MQY;KMQY;MQY;http://www.smyrnaairport.com/;https://en.wikipedia.org/wiki/Smyrna_Airport_(Tennessee);Sewart AFB
20564;KMTH;medium_airport;The Florida Keys Marathon Airport;24.726.101;-81.051.399;5;NA;US;US-FL;Marathon;no;KMTH;MTH;KMTH;MTH;http://marathonga.com/;https://en.wikipedia.org/wiki/Florida_Keys_Marathon_Airport;
20565;KMTJ;medium_airport;Montrose Regional Airport;385.098;-107.893.997;5759;NA;US;US-CO;Montrose;yes;KMTJ;MTJ;KMTJ;MTJ;https://montroseairport.com/;https://en.wikipedia.org/wiki/Montrose_Regional_Airport;
3715;KMUO;medium_airport;Mountain Home Air Force Base;43.043.598;-115.872.002;2996;NA;US;US-ID;Mountain Home;no;KMUO;MUO;KMUO;MUO;http://www.mountainhome.af.mil/;https://en.wikipedia.org/wiki/Mountain_Home_Air_Force_Base;
20581;KMWH;medium_airport;Grant County International Airport;4.720.769.882;-1.193.199.997;1189;NA;US;US-WA;Moses Lake;no;KMWH;MWH;KMWH;MWH;http://www.portofmoseslake.com/the-center-of-washington-aviation/;https://en.wikipedia.org/wiki/Grant_County_International_Airport;LRN, Larson AFB, Moses Lake AFB, Moses Lake AAB
3718;KMYV;medium_airport;Yuba County Airport;3.909.780.121;-1.215.699.997;64;NA;US;US-CA;Marysville;no;KMYV;MYV;KMYV;MYV;http://www.yubacoairport.com/;https://en.wikipedia.org/wiki/Yuba_County_Airport;Marysville AAF
3722;KNEL;medium_airport;Lakehurst Maxfield Field Airport;4.003.329.849;-74.353.302;101;NA;US;US-NJ;Lakehurst;no;KNEL;NEL;KNEL;NEL;;https://en.wikipedia.org/wiki/Naval_Air_Engineering_Station_Lakehurst;Maxfield Field, Hindenburg, Lakehurst NAES, Lakehurst Naval Air Engineering Station
3725;KNFL;medium_airport;Fallon Naval Air Station;3.941.659.927;-1.187.009.964;3934;NA;US;US-NV;Fallon;no;KNFL;NFL;KNFL;NFL;http://www.cnic.navy.mil/regions/cnrsw/installations/nas_fallon.html;https://en.wikipedia.org/wiki/Naval_Air_Station_Fallon;Van Voorhis Field, Fallon NAS
20639;KNFW;medium_airport;NAS Fort Worth JRB / Carswell Field;32.769.199;-97.441.498;650;NA;US;US-TX;Fort Worth;no;KNFW;FWH;KNFW;NFW;http://www.cnic.navy.mil/regions/cnrse/installations/nas_jrb_fort_worth.html;https://en.wikipedia.org/wiki/Naval_Air_Station_Joint_Reserve_Base_Fort_Worth;Carswell AFB, Tarrant Field
3728;KNHK;medium_airport;Patuxent River Naval Air Station (Trapnell Field);38.285.999;-76.411.797;39;NA;US;US-MD;Patuxent River;no;KNHK;NHK;KNHK;NHK;;https://en.wikipedia.org/wiki/Naval_Air_Station_Patuxent_River;
