"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
5002,"NTMN","medium_airport","Hiva Oa-Atuona Airport","-9,768790245","-139,0110016",1481,"OC","PF","PF-U-A","Hiva Oa Island","yes","NTMN","AUQ","NTMN",,,"https://en.wikipedia.org/wiki/Atuona_Airport","HIX"
5003,"NTTB","medium_airport","Bora Bora Airport","-16,44440079","-151,7510071",10,"OC","PF","PF-U-A","Motu Mute","yes","NTTB","BOB","NTTB",,,"https://en.wikipedia.org/wiki/Bora_Bora_Airport",
5004,"NTTG","medium_airport","Rangiroa Airport","-14,95429993","-147,6609955",10,"OC","PF","PF-U-A",,"yes","NTTG","RGI","NTTG",,,"https://en.wikipedia.org/wiki/Rangiroa_Airport",
5005,"NTTH","medium_airport","Huahine-Fare Airport","-16,687084","-151,021593",7,"OC","PF","PF-U-A","Fare","yes","NTTH","HUH","NTTH",,,"https://en.wikipedia.org/wiki/Huahine_-_Fare_Airport",
5006,"NTTM","medium_airport","Moorea Temae Airport","-17,48979","-149,761777",9,"OC","PF","PF-U-A","Moorea-Maiao","yes","NTTM","MOZ","NTTM",,,"https://en.wikipedia.org/wiki/Moorea_Airport","Temae Airport, Moorea Temae Airport"
5007,"NTTO","medium_airport","Hao Airport","-18,0748","-140,945999",10,"OC","PF","PF-U-A","Otepa","yes","NTTO","HOI","NTTO",,,"https://en.wikipedia.org/wiki/Hao_Airport",
5008,"NTTP","medium_airport","Maupiti Airport","-16,42650032","-152,2440033",15,"OC","PF","PF-U-A",,"yes","NTTP","MAU","NTTP",,,"https://en.wikipedia.org/wiki/Maupiti_Airport",
5009,"NTTR","medium_airport","Raiatea Airport","-16,7229","-151,466003",3,"OC","PF","PF-U-A","Uturoa","yes","NTTR","RFP","NTTR",,,"https://en.wikipedia.org/wiki/Raiatea_Airport",
35158,"NVSQ","medium_airport","Gaua Island Airport","-14,2181","167,587006",100,"OC","VU","VU-TOB","Gaua Island","no","NVSQ","ZGU","NVSQ",,,"https://en.wikipedia.org/wiki/Gaua_Airport","Banks Islands"
5010,"NVSS","medium_airport","Santo Pekoa International Airport","-15,50500011","167,2200012",184,"OC","VU","VU-SAM","Luganville","yes","NVSS","SON","NVSS",,"http://www.airports.vu/Santo%20Pekoa/Santo%20Pekoa.htm","https://en.wikipedia.org/wiki/Santo-Pekoa_International_Airport",
5011,"NVVV","large_airport","Bauerfield International Airport","-17,699301","168,320007",70,"OC","VU","VU-SEE","Port Vila","yes","NVVV","VLI","NVVV",,,"https://en.wikipedia.org/wiki/Bauerfield_International_Airport","Efate Field, Vila Field, McDonald Field, Bauer Field"
5012,"NVVW","medium_airport","Whitegrass Airport","-19,455099","169,223999",19,"OC","VU","VU-TAE","Tanna Island","yes","NVVW","TAH","NVVW",,,"https://en.wikipedia.org/wiki/White_Grass_Airport",
32439,"NWWA","medium_airport","Tiga Airport","-21,096407","167,80379",128,"OC","NC","NC-01","Tiga","yes","NWWA","TGJ","NWWA",,,"https://en.wikipedia.org/wiki/Tiga_Airport",
5013,"NWWD","medium_airport","KonÃ© Airport","-21,053551","164,838768",23,"OC","NC","NC-02","KonÃ©","yes","NWWD","KNQ","NWWD",,,"https://en.wikipedia.org/wiki/Kon%C3%A9_Airport",
5014,"NWWE","medium_airport","Ãle des Pins Airport","-22,58889961","167,4559937",315,"OC","NC","NC-03","Ãle des Pins","yes","NWWE","ILP","NWWE",,,"https://en.wikipedia.org/wiki/%C3%8Ele_des_Pins_Airport",
5016,"NWWL","medium_airport","Lifou Airport","-20,774563","167,239328",92,"OC","NC","NC-01","Lifou","yes","NWWL","LIF","NWWL",,,"https://en.wikipedia.org/wiki/Lifou_Airport",
5017,"NWWM","medium_airport","NoumÃ©a Magenta Airport","-22,25812","166,472783",10,"OC","NC","NC-03","NoumÃ©a","yes","NWWM","GEA","NWWM",,,"https://en.wikipedia.org/wiki/Noum%C3%A9a_Magenta_Airport","l'AÃ©roport de NoumÃ©a Magenta"
5018,"NWWR","medium_airport","MarÃ© Airport","-21,482438","168,038465",141,"OC","NC","NC-01","MarÃ©","yes","NWWR","MEE","NWWR",,,"https://en.wikipedia.org/wiki/Mar%C3%A9_Airport",
5019,"NWWU","medium_airport","Touho Airport","-20,790127","165,259524",10,"OC","NC","NC-02","Touho","yes","NWWU","TOU","NWWU",,,"https://en.wikipedia.org/wiki/Touho_Airport",
5020,"NWWV","medium_airport","OuvÃ©a Airport","-20,640932","166,573024",23,"OC","NC","NC-01","OuvÃ©a","yes","NWWV","UVE","NWWV",,,"https://en.wikipedia.org/wiki/Ouv%C3%A9a_Airport",
5021,"NWWW","medium_airport","La Tontouta International Airport","-22,014601","166,212997",52,"OC","NC","NC-03","NoumÃ©a (La Tontouta)","yes","NWWW","NOU","NWWW",,"http://www.cci-nc.com/tontouta/index.php","https://en.wikipedia.org/wiki/La_Tontouta_International_Airport","AÃ©roport de NoumÃ©a - La Tontouta"
5023,"NZAA","large_airport","Auckland International Airport","-37,01199","174,786331",23,"OC","NZ","NZ-AUK","Auckland","yes","NZAA","AKL","NZAA",,"http://www.auckland-airport.co.nz/","https://en.wikipedia.org/wiki/Auckland_International_Airport",
5024,"NZAP","medium_airport","Taupo Airport","-38,73970032","176,0839996",1335,"OC","NZ","NZ-WKO","Taupo","yes","NZAP","TUO","NZAP",,,"https://en.wikipedia.org/wiki/Taupo_Airport",
5025,"NZAR","medium_airport","Ardmore Airport","-37,02970123","174,9730072",111,"OC","NZ","NZ-AUK","Manurewa","no","NZAR","AMZ","NZAR",,"http://www.nzar.co.nz/","https://en.wikipedia.org/wiki/Ardmore_Airport",
5026,"NZCH","large_airport","Christchurch International Airport","-43,489029","172,532065",123,"OC","NZ","NZ-CAN","Christchurch","yes","NZCH","CHC","NZCH",,"http://www.christchurchairport.co.nz/","https://en.wikipedia.org/wiki/Christchurch_International_Airport",
5027,"NZCI","medium_airport","Chatham Islands / Tuuta Airport","-43,81189","-176,46514",43,"OC","NZ","NZ-WGN","Te One","yes","NZCI","CHT","NZCI",,,"https://en.wikipedia.org/wiki/Chatham_Islands_/_Tuuta_Airport","Karewa"
